SPECIES_LU_VERSION; ISGS Species List
TERMS_AND_CONDITIONS; Free to use, cite original source
SPECIES_NR;NAME;GENUS;SPECIES;AUTHOR;SYNONYM;VALID_NR;VALID_NAME;SECUNDUM
223;Cladonia pocillum;Cladonia;pocillum;NA;FALSE;223;Cladonia pocillum;NA
224;Cladonia portentosa;Cladonia;portentosa;NA;FALSE;224;Cladonia portentosa;NA
225;Cladonia pyxidata;Cladonia;pyxidata;NA;FALSE;225;Cladonia pyxidata;NA
226;Cladonia rangiformis;Cladonia;rangiformis;NA;FALSE;226;Cladonia rangiformis;NA
227;Cladonia sp.;Cladonia;sp.;NA;FALSE;227;Cladonia sp.;NA
228;Climacium dendroides;Climacium;dendroides;NA;FALSE;228;Climacium dendroides;NA
229;Cochlearia danica;Cochlearia;danica;NA;FALSE;229;Cochlearia danica;NA
230;Cochlearia officinalis;Cochlearia;officinalis;NA;FALSE;230;Cochlearia officinalis;NA
231;Cochlearia sp.;Cochlearia;sp.;NA;FALSE;231;Cochlearia sp.;NA
232;Coeloglossum viride;Coeloglossum;viride;NA;FALSE;232;Coeloglossum viride;NA
233;Colchicum autumnale;Colchicum;autumnale;NA;FALSE;233;Colchicum autumnale;NA
234;Collema auriforme;Collema;auriforme;NA;FALSE;234;Collema auriforme;NA
235;Conocephalum conicum;Conocephalum;conicum;NA;FALSE;235;Conocephalum conicum;NA
236;Conopodium majus;Conopodium;majus;NA;FALSE;236;Conopodium majus;NA
237;Convolvulus arvensis;Convolvulus;arvensis;NA;FALSE;237;Convolvulus arvensis;NA
238;Corylus avellana;Corylus;avellana;NA;FALSE;238;Corylus avellana;NA
239;Cotoneaster integrifolius;Cotoneaster;integrifolius;NA;FALSE;239;Cotoneaster integrifolius;NA
240;Cotoneaster sp.;Cotoneaster;sp.;NA;FALSE;240;Cotoneaster sp.;NA
241;Crataegus monogyna;Crataegus;monogyna;NA;FALSE;241;Crataegus monogyna;NA
242;Cratoneuron filicinum;Cratoneuron;filicinum;NA;FALSE;242;Cratoneuron filicinum;NA
243;Crepis biennis;Crepis;biennis;NA;FALSE;243;Crepis biennis;NA
244;Crepis capillaris;Crepis;capillaris;NA;FALSE;244;Crepis capillaris;NA
245;Crepis paludosa;Crepis;paludosa;NA;FALSE;245;Crepis paludosa;NA
246;Crepis sp.;Crepis;sp.;NA;FALSE;246;Crepis sp.;NA
247;Crepis vesicaria;Crepis;vesicaria;NA;FALSE;247;Crepis vesicaria;NA
248;Crocosmia x;Crocosmia;x;NA;FALSE;248;Crocosmia x;NA
249;Ctenidium molluscum;Ctenidium;molluscum;NA;FALSE;249;Ctenidium molluscum;NA
250;Cuscuta epithymum;Cuscuta;epithymum;NA;FALSE;250;Cuscuta epithymum;NA
251;Cynosurus cristatus;Cynosurus;cristatus;NA;FALSE;251;Cynosurus cristatus;NA
252;Cyperus longus;Cyperus;longus;NA;FALSE;252;Cyperus longus;NA
253;Cystopteris fragilis;Cystopteris;fragilis;NA;FALSE;253;Cystopteris fragilis;NA
254;Cytisus scoparius;Cytisus;scoparius;NA;FALSE;254;Cytisus scoparius;NA
255;Dactylis glomerata;Dactylis;glomerata;NA;FALSE;255;Dactylis glomerata;NA
256;Dactylorhiza fuchsii;Dactylorhiza;fuchsii;NA;FALSE;256;Dactylorhiza fuchsii;NA
257;Dactylorhiza fuchsii;Dactylorhiza;fuchsii;NA;FALSE;257;Dactylorhiza fuchsii;NA
258;Dactylorhiza incarnata;Dactylorhiza;incarnata;NA;FALSE;258;Dactylorhiza incarnata;NA
259;Dactylorhiza kerryensis;Dactylorhiza;kerryensis;NA;FALSE;259;Dactylorhiza kerryensis;NA
260;Dactylorhiza maculata;Dactylorhiza;maculata;NA;FALSE;260;Dactylorhiza maculata;NA
261;Dactylorhiza purpurella;Dactylorhiza;purpurella;NA;FALSE;261;Dactylorhiza purpurella;NA
262;Dactylorhiza sp.;Dactylorhiza;sp.;NA;FALSE;262;Dactylorhiza sp.;NA
263;Danthonia decumbens;Danthonia;decumbens;NA;FALSE;263;Danthonia decumbens;NA
264;Daucus carota;Daucus;carota;NA;FALSE;264;Daucus carota;NA
265;Deschampsia cespitosa;Deschampsia;cespitosa;NA;FALSE;265;Deschampsia cespitosa;NA
266;Deschampsia flexuosa;Deschampsia;flexuosa;NA;FALSE;266;Deschampsia flexuosa;NA
267;Dichodontium pellucidum;Dichodontium;pellucidum;NA;FALSE;267;Dichodontium pellucidum;NA
268;Dicranella heteromalla;Dicranella;heteromalla;NA;FALSE;268;Dicranella heteromalla;NA
269;Dicranella palustris;Dicranella;palustris;NA;FALSE;269;Dicranella palustris;NA
270;Dicranella rufescens;Dicranella;rufescens;NA;FALSE;270;Dicranella rufescens;NA
271;Dicranella schreberiana;Dicranella;schreberiana;NA;FALSE;271;Dicranella schreberiana;NA
272;Dicranella sp.;Dicranella;sp.;NA;FALSE;272;Dicranella sp.;NA
273;Dicranella staphylina;Dicranella;staphylina;NA;FALSE;273;Dicranella staphylina;NA
274;Dicranella varia;Dicranella;varia;NA;FALSE;274;Dicranella varia;NA
275;Dicranum bonjeanii;Dicranum;bonjeanii;NA;FALSE;275;Dicranum bonjeanii;NA
276;Dicranum scoparium;Dicranum;scoparium;NA;FALSE;276;Dicranum scoparium;NA
277;Dicranum sp.;Dicranum;sp.;NA;FALSE;277;Dicranum sp.;NA
278;Didymodon fallax;Didymodon;fallax;NA;FALSE;278;Didymodon fallax;NA
279;Didymodon ferrugineus;Didymodon;ferrugineus;NA;FALSE;279;Didymodon ferrugineus;NA
